ICAO,TYPE/SIZE,NAME,ELEVATION,iso_country,iso_region,municipality,Lat,Lon
KFYE,small_airport,Fayette County Airport,436,US,US-TN,Somerville,-89.39450073,35.20769882
KFYJ,small_airport,Middle Peninsula Regional Airport,20,US,US-VA,West Point,-76.76470184,37.52119827
KFYM,small_airport,Fayetteville Municipal Airport,984,US,US-TN,Fayetteville,-86.56400299,35.05970001
KFYV,medium_airport,Drake Field,1251,US,US-AR,Fayetteville,-94.17009735,36.00510025
KFZG,small_airport,Fitzgerald Municipal Airport,365,US,US-GA,Fitzgerald,-83.27050018,31.68370056
KFZI,small_airport,Fostoria Metropolitan Airport,752,US,US-OH,Fostoria,-83.39450073,41.19079971
KFZY,small_airport,Oswego County Airport,475,US,US-NY,Fulton,-76.38809967,43.35079956
KGAD,small_airport,Northeast Alabama Regional Airport,569,US,US-AL,Gadsden,-86.088996,33.972599
KGAF,small_airport,Hutson Field,824,US,US-ND,Grafton,-97.37090302,48.40470123
KGAG,small_airport,Gage Airport,2223,US,US-OK,Gage,-99.77639771,36.29550171
KGAI,small_airport,Montgomery County Airpark,539,US,US-MD,Gaithersburg,-77.16600037,39.16830063
KGAO,small_airport,South Lafourche Leonard Miller Jr Airport,1,US,US-LA,Galliano,-90.26110077,29.44479942
KGAS,small_airport,Gallia Meigs Regional Airport,566,US,US-OH,Gallipolis,-82.16339874,38.83409882
KGBD,small_airport,Great Bend Municipal Airport,1887,US,US-KS,Great Bend,-98.85919952,38.34429932
KGBG,small_airport,Galesburg Municipal Airport,764,US,US-IL,Galesburg,-90.43109894,40.93799973
KGBN,small_airport,Gila Bend Af Aux Airport,883,US,US-AZ,Gila Bend,-112.720001,32.887501
KGBR,small_airport,Walter J. Koladza Airport,739,US,US-MA,Great Barrington,-73.40319824,42.18420029
KGCC,medium_airport,Gillette Campbell County Airport,4365,US,US-WY,Gillette,-105.5390015,44.34889984
KGCD,small_airport,Grant Co Regional/Ogilvie Field,3703,US,US-OR,John Day,-118.9629974,44.40420151
KGCK,medium_airport,Garden City Regional Airport,2891,US,US-KS,Garden City,-100.723999,37.92750168
KGCM,small_airport,Claremore Regional Airport,733,US,US-OK,Claremore,-95.479599,36.29270172
KGCN,medium_airport,Grand Canyon National Park Airport,6609,US,US-AZ,Grand Canyon,-112.1470032,35.95240021
KGCT,small_airport,Guthrie County Regional Airport,1230,US,US-IA,Guthrie Center,-94.43520355,41.68780136
KGCY,small_airport,Greeneville-Greene County Municipal Airport,1608,US,US-TN,Greeneville,-82.81510162,36.19300079
KGDB,small_airport,Granite Falls Municipal-Lenzen-Roe Memorial Field,1047,US,US-MN,Granite Falls,-95.55599976,44.75329971
KGDJ,small_airport,Granbury Regional Airport,778,US,US-TX,Granbury,-97.81690216,32.44440079
KGDM,small_airport,Gardner Municipal Airport,955,US,US-MA,Gardner,-72.01609802,42.54999924
KGDV,medium_airport,Dawson Community Airport,2458,US,US-MT,Glendive,-104.8069992,47.13869858
KGDW,small_airport,Gladwin Zettel Memorial Airport,776,US,US-MI,Gladwin,-84.47499847,43.97060013
KGED,small_airport,Sussex County Airport,53,US,US-DE,Georgetown,-75.35890198,38.68920135
KGEG,large_airport,Spokane International Airport,2376,US,US-WA,Spokane,-117.5339966,47.61989975
KGEO,small_airport,Brown County Airport,958,US,US-OH,Georgetown,-83.88269806,38.88190079
KGEU,small_airport,Glendale Municipal Airport,1071,US,US-AZ,Glendale,-112.2949982,33.52690125
KGEV,small_airport,Ashe County Airport,3180,US,US-NC,Jefferson,-81.419702,36.4324
KGEY,small_airport,South Big Horn County Airport,3939,US,US-WY,Greybull,-108.0830002,44.51679993
KGEZ,small_airport,Shelbyville Municipal Airport,803,US,US-IN,Shelbyville,-85.804802,39.583199
KGFA,heliport,Malmstrom Air Force Base,3472,US,US-MT,Great Falls,-111.1869965,47.50469971
KGFK,medium_airport,Grand Forks International Airport,845,US,US-ND,Grand Forks,-97.176102,47.949299
KGFL,medium_airport,Floyd Bennett Memorial Airport,328,US,US-NY,Glens Falls,-73.61029816,43.34120178
KGFZ,small_airport,Greenfield Municipal Airport,1364,US,US-IA,Greenfield,-94.4457016,41.32699966
KGGE,small_airport,Georgetown County Airport,39,US,US-SC,Georgetown,-79.31960297,33.31169891
KGGF,small_airport,Grant Municipal Airport,3425,US,US-NE,Grant,-101.7330017,40.86949921
KGGG,medium_airport,East Texas Regional Airport,365,US,US-TX,Longview,-94.71150208,32.38399887
KGGI,small_airport,Grinnell Regional Airport,1008,US,US-IA,Grinnell,-92.73490143,41.70920181
KGGP,small_airport,Logansport Cass County Airport,738,US,US-IN,Logansport,-86.37490082,40.71120071
KGGW,medium_airport,Wokal Field/Glasgow-Valley County Airport,2296,US,US-MT,Glasgow,-106.614998,48.212502
KGHG,small_airport,Marshfield Municipal George Harlow Field,11,US,US-MA,Marshfield,-70.67220306,42.09830093
KGHM,small_airport,Centerville Municipal Airport,768,US,US-TN,Centerville,-87.44539642,35.83739853
KGHW,small_airport,Glenwood Municipal Airport,1393,US,US-MN,Glenwood,-95.32039642,45.64390182
KGIF,small_airport,Winter Haven Regional Airport - Gilbert Field,145,US,US-FL,Winter Haven,-81.753304,28.062901
KGJT,medium_airport,Grand Junction Regional Airport,4858,US,US-CO,Grand Junction,-108.5270004,39.12239838
KGKJ,small_airport,Port Meadville Airport,1399,US,US-PA,Meadville,-80.21469879,41.62649918
KGKT,small_airport,Gatlinburg-Pigeon Forge Airport,1014,US,US-TN,Sevierville,-83.52870178,35.85779953
KGKY,small_airport,Arlington Municipal Airport,628,US,US-TX,Arlington,-97.09429932,32.66389847
KGLD,medium_airport,Renner Field-Goodland Municipal Airport,3656,US,US-KS,Goodland,-101.6989975,39.37060165
KGLE,small_airport,Gainesville Municipal Airport,845,US,US-TX,Gainesville,-97.1969986,33.65140152
KGLH,medium_airport,Mid Delta Regional Airport,131,US,US-MS,Greenville,-90.98560333,33.48289871
KGLR,small_airport,Gaylord Regional Airport,1328,US,US-MI,Gaylord,-84.70359802,45.01350021
KGLS,medium_airport,Scholes International At Galveston Airport,6,US,US-TX,Galveston,-94.86039734,29.26530075
KGLW,small_airport,Glasgow Municipal Airport,716,US,US-KY,Glasgow,-85.9536972,37.03179932
KGLY,small_airport,Clinton Memorial Airport,822,US,US-MO,Clinton,-93.68419647,38.35660172
KGMJ,small_airport,Grove Municipal Airport,831,US,US-OK,Grove,-94.73860168,36.60680008
KGMU,medium_airport,Greenville Downtown Airport,1048,US,US-SC,Greenville,-82.34999847,34.84790039
KGNB,small_airport,Granby Grand County Airport,8203,US,US-CO,Granby,-105.9169998,40.08969879
KGNC,small_airport,Gaines County Airport,3315,US,US-TX,Seminole,-102.6529999,32.6753006
KGNF,small_airport,Grenada Municipal Airport,208,US,US-MS,Grenada,-89.79820251,33.83250046
KGNG,small_airport,Gooding Municipal Airport,3732,US,US-ID,Gooding,-114.7649994,42.91719818
KGNT,small_airport,Grants-Milan Municipal Airport,6537,US,US-NM,Grants,-107.9020004,35.16730118
KGNV,medium_airport,Gainesville Regional Airport,152,US,US-FL,Gainesville,-82.27179718,29.69009972
KGOK,small_airport,Guthrie-Edmond Regional Airport,1069,US,US-OK,Guthrie,-97.41560364,35.84980011
KGON,medium_airport,Groton New London Airport,9,US,US-CT,Groton (New London),-72.04509735,41.33010101
KGOO,small_airport,Nevada County Airport,3152,US,US-CA,Grass Valley,-121.002997,39.223998
KGOP,small_airport,Gatesville Municipal Airport,905,US,US-TX,Gatesville,-97.796996,31.421301
KGOV,small_airport,Grayling Army Air Field,1158,US,US-MI,Grayling,-84.72889709,44.68030167
KGPH,small_airport,Midwest National Air Center Airport,777,US,US-MO,Mosby,-94.30960083,39.33250046
KGPI,medium_airport,Glacier Park International Airport,2977,US,US-MT,Kalispell,-114.2559967,48.3105011
KGPM,small_airport,Grand Prairie Municipal Airport,588,US,US-TX,Grand Prairie,-97.04689789,32.69879913
KGPT,large_airport,Gulfport Biloxi International Airport,28,US,US-MS,Gulfport,-89.07009888,30.40730095
KGPZ,small_airport,Grand Rapids Itasca Co-Gordon Newstrom field,1355,US,US-MN,Grand Rapids,-93.50980377,47.21110153
KGQQ,small_airport,Galion Municipal Airport,1224,US,US-OH,Galion,-82.72380066,40.7533989
KGRB,large_airport,Austin Straubel International Airport,695,US,US-WI,Green Bay,-88.12960052,44.48509979
KGRD,small_airport,Greenwood County Airport,631,US,US-SC,Greenwood,-82.15910339,34.24869919
KGRE,small_airport,Greenville Airport,541,US,US-IL,Greenville,-89.37840271,38.83620071
KGRF,medium_airport,Gray Army Air Field,300,US,US-WA,Fort Lewis/Tacoma,-122.5810013,47.07920074
KGRI,medium_airport,Central Nebraska Regional Airport,1847,US,US-NE,Grand Island,-98.30960083,40.96749878
KGRK,medium_airport,Robert Gray  Army Air Field Airport,1015,US,US-TX,Fort Hood/Killeen,-97.8289032,31.06719971
KGRM,closed,Devil's Track Airport,1662,US,US-MN,Grand Marias,-90.38,47.827
KGRN,small_airport,Gordon Municipal Airport,3562,US,US-NE,Gordon,-102.1750031,42.80599976
KGRR,medium_airport,Gerald R. Ford International Airport,794,US,US-MI,Grand Rapids,-85.52279663,42.88079834
KGSB,large_airport,Seymour Johnson Air Force Base,109,US,US-NC,Goldsboro,-77.96060181,35.33940125
KGSH,small_airport,Goshen Municipal Airport,827,US,US-IN,Goshen,-85.79290009,41.52640152
KGSO,large_airport,Piedmont Triad International Airport,925,US,US-NC,Greensboro,-79.93730164,36.09780121
KGSP,large_airport,Greenville Spartanburg International Airport,964,US,US-SC,Greenville,-82.21890259,34.89569855
KGSW,closed,Greater Southwest International Airport-Amon Carter Field,568,US,US-TX,Fort Worth,-97.04918861,32.83081045
KGTB,medium_airport,Wheeler Sack Army Air Field,688,US,US-NY,Fort Drum,-75.71949768,44.05559921
